R2 U B2 D2 R2 D' F2 B2 D' F2 B2 U F2 U',U F2 U F2 U2 L2 D\nU F2 U F2 D2 R2 D\nU F2 U' L2 U2 F2 D\nU F2 U' L2 D2 B2 D\nU F2 D R2 U2 F2 U\nU F2 D R2 D2 B2 U\nU F2 D' B2 U2 L2 U\nU F2 D' B2 D2 R2 U\nU B2 U L2 U2 B2 D\nU B2 U L2 D2 F2 D\nU B2 U' B2 U2 L2 D\nU B2 U' B2 D2 R2 D\nU B2 D F2 U2 L2 U\nU B2 D F2 D2 R2 U\nU B2 D' R2 U2 B2 U\nU B2 D' R2 D2 F2 U\nD R2 U R2 U2 F2 U\nD R2 U R2 D2 B2 U\nD R2 U' F2 U2 R2 U\nD R2 U' F2 D2 L2 U\nD R2 D B2 U2 R2 D\nD R2 D B2 D2 L2 D\nD R2 D' L2 U2 F2 D\nD R2 D' L2 D2 B2 D\nD L2 U F2 U2 L2 U\nD L2 U F2 D2 R2 U\nD L2 U' L2 U2 F2 U\nD L2 U' L2 D2 B2 U\nD L2 D R2 U2 F2 D\nD L2 D R2 D2 B2 D\nD L2 D' B2 U2 L2 D\nD L2 D' B2 D2 R2 D\n,7,32
R2 L2 D2 B2 U R2 F2 R2 D2 F2 D' R2 D' R2,U R2 U2 B2 L2 U' B2 U\nU R2 U2 B2 L2 D' R2 D\nU R2 D2 F2 R2 U' F2 U\nU R2 D2 F2 R2 D' L2 D\nU' R2 L2 F2 L2 U R2 U\nU' R2 L2 F2 L2 D B2 D\nU' R2 F2 L2 F2 U R2 U\nU' R2 F2 L2 F2 D B2 D\nU' F2 R2 U L2 F2 B2 D\nU' F2 R2 D F2 R2 L2 U\nD B2 U2 L2 F2 U' L2 D\nD B2 U2 L2 F2 D' B2 U\nD B2 D2 R2 B2 U' R2 D\nD B2 D2 R2 B2 D' F2 U\nD' L2 F2 U B2 R2 L2 U\nD' L2 F2 D L2 F2 B2 D\nD' F2 L2 B2 L2 U F2 D\nD' F2 L2 B2 L2 D R2 U\nD' F2 B2 L2 B2 U F2 D\nD' F2 B2 L2 B2 D R2 U\nR2 U R2 L2 B2 U L2 U\nR2 U R2 L2 B2 D F2 D\nR2 D F2 B2 L2 U F2 D\nR2 D F2 B2 L2 D R2 U\n,8,24
U2 R2 U2 R2 F2 R2 F2 L2 D F2 D B2,B2 U' R2 U\nB2 D' F2 D\n,4,2
U2 R2 U2 R2 F2 R2 F2 L2 D F2 D B2,B2 U' R2 U\nB2 D' F2 D\n,4,2
F2 U2 L2 U' B2 U F2 U' F2 D' R2 U2 R2,U2 R2 U L2 U' L2 U R2 D\nU2 R2 U L2 U' L2 D B2 U\nU2 R2 U L2 D' B2 U F2 U\nU2 R2 U L2 D' B2 D R2 D\nU2 R2 U' L2 U L2 U' R2 D\nU2 R2 U' L2 U L2 D' F2 U\nU2 R2 U' L2 D F2 U' B2 U\nU2 R2 U' L2 D F2 D' R2 D\nU2 R2 D F2 U' F2 U B2 U\nU2 R2 D F2 U' F2 D L2 D\nU2 R2 D F2 D' L2 U R2 D\nU2 R2 D F2 D' L2 D B2 U\nU2 R2 D' B2 U B2 U' F2 U\nU2 R2 D' B2 U B2 D' L2 D\nU2 R2 D' B2 D L2 U' R2 D\nU2 R2 D' B2 D L2 D' F2 U\nD2 L2 U R2 U' R2 U L2 D\nD2 L2 U R2 U' R2 D F2 U\nD2 L2 U R2 D' F2 U B2 U\nD2 L2 U R2 D' F2 D L2 D\nD2 L2 U' R2 U R2 U' L2 D\nD2 L2 U' R2 U R2 D' B2 U\nD2 L2 U' R2 D B2 U' F2 U\nD2 L2 U' R2 D B2 D' L2 D\nD2 L2 D B2 U' B2 U F2 U\nD2 L2 D B2 U' B2 D R2 D\nD2 L2 D B2 D' R2 U L2 D\nD2 L2 D B2 D' R2 D F2 U\nD2 L2 D' F2 U F2 U' B2 U\nD2 L2 D' F2 U F2 D' R2 D\nD2 L2 D' F2 D R2 U' L2 D\nD2 L2 D' F2 D R2 D' B2 U\nR2 U L2 B2 U R2 U' R2 D\nR2 U L2 B2 U R2 D' F2 U\nR2 U L2 B2 D B2 U' B2 U\nR2 U L2 B2 D B2 D' R2 D\nR2 U B2 U' B2 U F2 R2 U\nR2 U B2 U' B2 U B2 L2 D\nR2 U B2 U' B2 D R2 B2 D\nR2 U B2 U' B2 D L2 F2 U\nR2 U B2 D' R2 U R2 B2 U\nR2 U B2 D' R2 U L2 F2 D\nR2 U B2 D' R2 D F2 R2 U\nR2 U B2 D' R2 D B2 L2 D\nR2 U' L2 F2 U' R2 U R2 D\nR2 U' L2 F2 U' R2 D B2 U\nR2 U' L2 F2 D' F2 U F2 U\nR2 U' L2 F2 D' F2 D R2 D\nR2 U' F2 U F2 U' F2 L2 D\nR2 U' F2 U F2 U' B2 R2 U\nR2 U' F2 U F2 D' R2 F2 D\nR2 U' F2 U F2 D' L2 B2 U\nR2 U' F2 D R2 U' R2 F2 U\nR2 U' F2 D R2 U' L2 B2 D\nR2 U' F2 D R2 D' F2 L2 D\nR2 U' F2 D R2 D' B2 R2 U\nR2 D L2 U' L2 U R2 B2 D\nR2 D L2 U' L2 U L2 F2 U\nR2 D L2 U' L2 D F2 R2 D\nR2 D L2 U' L2 D B2 L2 U\nR2 D L2 D' B2 U F2 R2 U\nR2 D L2 D' B2 U B2 L2 D\nR2 D L2 D' B2 D R2 B2 D\nR2 D L2 D' B2 D L2 F2 U\nR2 D F2 L2 U B2 U' B2 U\nR2 D F2 L2 U B2 D' R2 D\nR2 D F2 L2 D L2 U' L2 D\nR2 D F2 L2 D L2 D' B2 U\nR2 D' L2 U L2 U' R2 F2 D\nR2 D' L2 U L2 U' L2 B2 U\nR2 D' L2 U L2 D' F2 L2 U\nR2 D' L2 U L2 D' B2 R2 D\nR2 D' L2 D F2 U' F2 L2 D\nR2 D' L2 D F2 U' B2 R2 U\nR2 D' L2 D F2 D' R2 F2 D\nR2 D' L2 D F2 D' L2 B2 U\nR2 D' B2 L2 U' F2 U F2 U\nR2 D' B2 L2 U' F2 D R2 D\nR2 D' B2 L2 D' L2 U L2 D\nR2 D' B2 L2 D' L2 D F2 U\n,9,80
U2 B2 U' L2 U R2 L2 D2 L2 D F2 L2 F2,U2 R2 B2 U' B2 U' R2 U\nU2 R2 B2 U' B2 D' F2 D\nU2 R2 B2 D' R2 U' F2 D\nU2 R2 B2 D' R2 D' L2 U\nU2 L2 F2 U' R2 U' L2 D\nU2 L2 F2 U' R2 D' B2 U\nU2 L2 F2 D' F2 U' B2 U\nU2 L2 F2 D' F2 D' R2 D\nU2 F2 U L2 F2 U' F2 D\nU2 F2 U L2 F2 D' L2 U\nU2 F2 D F2 R2 U' R2 U\nU2 F2 D F2 R2 D' F2 D\nU2 F2 L2 U' R2 U' L2 D\nU2 F2 L2 U' R2 D' B2 U\nU2 F2 L2 D' F2 U' B2 U\nU2 F2 L2 D' F2 D' R2 D\nD2 R2 B2 U' L2 U' R2 D\nD2 R2 B2 U' L2 D' F2 U\nD2 R2 B2 D' B2 U' F2 U\nD2 R2 B2 D' B2 D' L2 D\nD2 L2 F2 U' F2 U' L2 U\nD2 L2 F2 U' F2 D' B2 D\nD2 L2 F2 D' L2 U' B2 D\nD2 L2 F2 D' L2 D' R2 U\nD2 B2 U R2 B2 U' B2 D\nD2 B2 U R2 B2 D' R2 U\nD2 B2 D B2 L2 U' L2 U\nD2 B2 D B2 L2 D' B2 D\nD2 B2 R2 U' L2 U' R2 D\nD2 B2 R2 U' L2 D' F2 U\nD2 B2 R2 D' B2 U' F2 U\nD2 B2 R2 D' B2 D' L2 D\n,8,32
R2 U B2 R2 U' F2 B2 L2 U R2 D R2 F2 U2,U B2 U' F2 U F2 U2 R2 U\nU B2 U' F2 U F2 D2 L2 U\nU B2 U' F2 U' R2 U2 F2 U\nU B2 U' F2 U' R2 D2 B2 U\nU B2 U' F2 D R2 U2 B2 D\nU B2 U' F2 D R2 D2 F2 D\nU B2 U' F2 D' F2 U2 L2 D\nU B2 U' F2 D' F2 D2 R2 D\nU B2 U' B2 U B2 U2 L2 D\nU B2 U' B2 U B2 D2 R2 D\nU B2 U' B2 U' L2 U2 B2 D\nU B2 U' B2 U' L2 D2 F2 D\nU B2 U' B2 D L2 U2 F2 U\nU B2 U' B2 D L2 D2 B2 U\nU B2 U' B2 D' B2 U2 R2 U\nU B2 U' B2 D' B2 D2 L2 U\nU B2 D' R2 U R2 U2 B2 U\nU B2 D' R2 U R2 D2 F2 U\nU B2 D' R2 U' B2 U2 R2 U\nU B2 D' R2 U' B2 D2 L2 U\nU B2 D' R2 D B2 U2 L2 D\nU B2 D' R2 D B2 D2 R2 D\nU B2 D' R2 D' R2 U2 F2 D\nU B2 D' R2 D' R2 D2 B2 D\nU B2 D' L2 U L2 U2 F2 D\nU B2 D' L2 U L2 D2 B2 D\nU B2 D' L2 U' F2 U2 L2 D\nU B2 D' L2 U' F2 D2 R2 D\nU B2 D' L2 D F2 U2 R2 U\nU B2 D' L2 D F2 D2 L2 U\nU B2 D' L2 D' L2 U2 B2 U\nU B2 D' L2 D' L2 D2 F2 U\nD L2 U' R2 U R2 U2 B2 D\nD L2 U' R2 U R2 D2 F2 D\nD L2 U' R2 U' B2 U2 R2 D\nD L2 U' R2 U' B2 D2 L2 D\nD L2 U' R2 D B2 U2 L2 U\nD L2 U' R2 D B2 D2 R2 U\nD L2 U' R2 D' R2 U2 F2 U\nD L2 U' R2 D' R2 D2 B2 U\nD L2 U' L2 U L2 U2 F2 U\nD L2 U' L2 U L2 D2 B2 U\nD L2 U' L2 U' F2 U2 L2 U\nD L2 U' L2 U' F2 D2 R2 U\nD L2 U' L2 D F2 U2 R2 D\nD L2 U' L2 D F2 D2 L2 D\nD L2 U' L2 D' L2 U2 B2 D\nD L2 U' L2 D' L2 D2 F2 D\nD L2 D' F2 U F2 U2 R2 U\nD L2 D' F2 U F2 D2 L2 U\nD L2 D' F2 U' R2 U2 F2 U\nD L2 D' F2 U' R2 D2 B2 U\nD L2 D' F2 D R2 U2 B2 D\nD L2 D' F2 D R2 D2 F2 D\nD L2 D' F2 D' F2 U2 L2 D\nD L2 D' F2 D' F2 D2 R2 D\nD L2 D' B2 U B2 U2 L2 D\nD L2 D' B2 U B2 D2 R2 D\nD L2 D' B2 U' L2 U2 B2 D\nD L2 D' B2 U' L2 D2 F2 D\nD L2 D' B2 D L2 U2 F2 U\nD L2 D' B2 D L2 D2 B2 U\nD L2 D' B2 D' B2 U2 R2 U\nD L2 D' B2 D' B2 D2 L2 U\n,9,64
R2 U B2 R2 U' F2 B2 L2 U R2 D R2 F2 U2,U B2 U' F2 U F2 U2 R2 U\nU B2 U' F2 U F2 D2 L2 U\nU B2 U' F2 U' R2 U2 F2 U\nU B2 U' F2 U' R2 D2 B2 U\nU B2 U' F2 D R2 U2 B2 D\nU B2 U' F2 D R2 D2 F2 D\nU B2 U' F2 D' F2 U2 L2 D\nU B2 U' F2 D' F2 D2 R2 D\nU B2 U' B2 U B2 U2 L2 D\nU B2 U' B2 U B2 D2 R2 D\nU B2 U' B2 U' L2 U2 B2 D\nU B2 U' B2 U' L2 D2 F2 D\nU B2 U' B2 D L2 U2 F2 U\nU B2 U' B2 D L2 D2 B2 U\nU B2 U' B2 D' B2 U2 R2 U\nU B2 U' B2 D' B2 D2 L2 U\nU B2 D' R2 U R2 U2 B2 U\nU B2 D' R2 U R2 D2 F2 U\nU B2 D' R2 U' B2 U2 R2 U\nU B2 D' R2 U' B2 D2 L2 U\nU B2 D' R2 D B2 U2 L2 D\nU B2 D' R2 D B2 D2 R2 D\nU B2 D' R2 D' R2 U2 F2 D\nU B2 D' R2 D' R2 D2 B2 D\nU B2 D' L2 U L2 U2 F2 D\nU B2 D' L2 U L2 D2 B2 D\nU B2 D' L2 U' F2 U2 L2 D\nU B2 D' L2 U' F2 D2 R2 D\nU B2 D' L2 D F2 U2 R2 U\nU B2 D' L2 D F2 D2 L2 U\nU B2 D' L2 D' L2 U2 B2 U\nU B2 D' L2 D' L2 D2 F2 U\nD L2 U' R2 U R2 U2 B2 D\nD L2 U' R2 U R2 D2 F2 D\nD L2 U' R2 U' B2 U2 R2 D\nD L2 U' R2 U' B2 D2 L2 D\nD L2 U' R2 D B2 U2 L2 U\nD L2 U' R2 D B2 D2 R2 U\nD L2 U' R2 D' R2 U2 F2 U\nD L2 U' R2 D' R2 D2 B2 U\nD L2 U' L2 U L2 U2 F2 U\nD L2 U' L2 U L2 D2 B2 U\nD L2 U' L2 U' F2 U2 L2 U\nD L2 U' L2 U' F2 D2 R2 U\nD L2 U' L2 D F2 U2 R2 D\nD L2 U' L2 D F2 D2 L2 D\nD L2 U' L2 D' L2 U2 B2 D\nD L2 U' L2 D' L2 D2 F2 D\nD L2 D' F2 U F2 U2 R2 U\nD L2 D' F2 U F2 D2 L2 U\nD L2 D' F2 U' R2 U2 F2 U\nD L2 D' F2 U' R2 D2 B2 U\nD L2 D' F2 D R2 U2 B2 D\nD L2 D' F2 D R2 D2 F2 D\nD L2 D' F2 D' F2 U2 L2 D\nD L2 D' F2 D' F2 D2 R2 D\nD L2 D' B2 U B2 U2 L2 D\nD L2 D' B2 U B2 D2 R2 D\nD L2 D' B2 U' L2 U2 B2 D\nD L2 D' B2 U' L2 D2 F2 D\nD L2 D' B2 D L2 U2 F2 U\nD L2 D' B2 D L2 D2 B2 U\nD L2 D' B2 D' B2 U2 R2 U\nD L2 D' B2 D' B2 D2 L2 U\n,9,64
U B2 U R2 U' B2 U L2 D2 B2 D' B2 L2 D L2,F2 U L2 U L2 U2 F2 U' F2 U\nF2 U L2 U L2 U2 F2 D' L2 D\nF2 U L2 U L2 D2 B2 U' B2 U\nF2 U L2 U L2 D2 B2 D' R2 D\nF2 U L2 U' F2 U2 L2 U F2 U\nF2 U L2 U' F2 U2 L2 D R2 D\nF2 U L2 U' F2 D2 R2 U B2 U\nF2 U L2 U' F2 D2 R2 D L2 D\nF2 U L2 D F2 U2 R2 U' R2 D\nF2 U L2 D F2 U2 R2 D' F2 U\nF2 U L2 D F2 D2 L2 U' L2 D\nF2 U L2 D F2 D2 L2 D' B2 U\nF2 U L2 D' L2 U2 B2 U L2 D\nF2 U L2 D' L2 U2 B2 D F2 U\nF2 U L2 D' L2 D2 F2 U R2 D\nF2 U L2 D' L2 D2 F2 D B2 U\nF2 U' R2 U R2 U2 B2 U' B2 U\nF2 U' R2 U R2 U2 B2 D' R2 D\nF2 U' R2 U R2 D2 F2 U' F2 U\nF2 U' R2 U R2 D2 F2 D' L2 D\nF2 U' R2 U' B2 U2 R2 U B2 U\nF2 U' R2 U' B2 U2 R2 D L2 D\nF2 U' R2 U' B2 D2 L2 U F2 U\nF2 U' R2 U' B2 D2 L2 D R2 D\nF2 U' R2 D B2 U2 L2 U' L2 D\nF2 U' R2 D B2 U2 L2 D' B2 U\nF2 U' R2 D B2 D2 R2 U' R2 D\nF2 U' R2 D B2 D2 R2 D' F2 U\nF2 U' R2 D' R2 U2 F2 U R2 D\nF2 U' R2 D' R2 U2 F2 D B2 U\nF2 U' R2 D' R2 D2 B2 U L2 D\nF2 U' R2 D' R2 D2 B2 D F2 U\nF2 D F2 U F2 U2 R2 U' R2 D\nF2 D F2 U F2 U2 R2 D' F2 U\nF2 D F2 U F2 D2 L2 U' L2 D\nF2 D F2 U F2 D2 L2 D' B2 U\nF2 D F2 U' R2 U2 F2 U R2 D\nF2 D F2 U' R2 U2 F2 D B2 U\nF2 D F2 U' R2 D2 B2 U L2 D\nF2 D F2 U' R2 D2 B2 D F2 U\nF2 D F2 D R2 U2 B2 U' B2 U\nF2 D F2 D R2 U2 B2 D' R2 D\nF2 D F2 D R2 D2 F2 U' F2 U\nF2 D F2 D R2 D2 F2 D' L2 D\nF2 D F2 D' F2 U2 L2 U F2 U\nF2 D F2 D' F2 U2 L2 D R2 D\nF2 D F2 D' F2 D2 R2 U B2 U\nF2 D F2 D' F2 D2 R2 D L2 D\nF2 D' F2 U F2 U2 R2 U' R2 D\nF2 D' F2 U F2 U2 R2 D' F2 U\nF2 D' F2 U F2 D2 L2 U' L2 D\nF2 D' F2 U F2 D2 L2 D' B2 U\nF2 D' F2 U' R2 U2 F2 U R2 D\nF2 D' F2 U' R2 U2 F2 D B2 U\nF2 D' F2 U' R2 D2 B2 U L2 D\nF2 D' F2 U' R2 D2 B2 D F2 U\nF2 D' F2 D R2 U2 B2 U' B2 U\nF2 D' F2 D R2 U2 B2 D' R2 D\nF2 D' F2 D R2 D2 F2 U' F2 U\nF2 D' F2 D R2 D2 F2 D' L2 D\nF2 D' F2 D' F2 U2 L2 U F2 U\nF2 D' F2 D' F2 U2 L2 D R2 D\nF2 D' F2 D' F2 D2 R2 U B2 U\nF2 D' F2 D' F2 D2 R2 D L2 D\nB2 U F2 U L2 U2 B2 U' F2 U\nB2 U F2 U L2 U2 B2 D' L2 D\nB2 U F2 U L2 D2 F2 U' B2 U\nB2 U F2 U L2 D2 F2 D' R2 D\nB2 U F2 U' B2 U2 L2 U F2 U\nB2 U F2 U' B2 U2 L2 D R2 D\nB2 U F2 U' B2 D2 R2 U B2 U\nB2 U F2 U' B2 D2 R2 D L2 D\nB2 U F2 D F2 U2 L2 U' R2 D\nB2 U F2 D F2 U2 L2 D' F2 U\nB2 U F2 D F2 D2 R2 U' L2 D\nB2 U F2 D F2 D2 R2 D' B2 U\nB2 U F2 D' R2 U2 B2 U L2 D\nB2 U F2 D' R2 U2 B2 D F2 U\nB2 U F2 D' R2 D2 F2 U R2 D\nB2 U F2 D' R2 D2 F2 D B2 U\nB2 U B2 U B2 U2 R2 U' F2 U\nB2 U B2 U B2 U2 R2 D' L2 D\nB2 U B2 U B2 D2 L2 U' B2 U\nB2 U B2 U B2 D2 L2 D' R2 D\nB2 U B2 U' R2 U2 B2 U F2 U\nB2 U B2 U' R2 U2 B2 D R2 D\nB2 U B2 U' R2 D2 F2 U B2 U\nB2 U B2 U' R2 D2 F2 D L2 D\nB2 U B2 D L2 U2 B2 U' R2 D\nB2 U B2 D L2 U2 B2 D' F2 U\nB2 U B2 D L2 D2 F2 U' L2 D\nB2 U B2 D L2 D2 F2 D' B2 U\nB2 U B2 D' F2 U2 R2 U L2 D\nB2 U B2 D' F2 U2 R2 D F2 U\nB2 U B2 D' F2 D2 L2 U R2 D\nB2 U B2 D' F2 D2 L2 D B2 U\nB2 D R2 U F2 U2 L2 U' R2 D\nB2 D R2 U F2 U2 L2 D' F2 U\nB2 D R2 U F2 D2 R2 U' L2 D\nB2 D R2 U F2 D2 R2 D' B2 U\nB2 D R2 U' L2 U2 F2 U R2 D\nB2 D R2 U' L2 U2 F2 D B2 U\nB2 D R2 U' L2 D2 B2 U L2 D\nB2 D R2 U' L2 D2 B2 D F2 U\nB2 D R2 D R2 U2 F2 U' B2 U\nB2 D R2 D R2 U2 F2 D' R2 D\nB2 D R2 D R2 D2 B2 U' F2 U\nB2 D R2 D R2 D2 B2 D' L2 D\nB2 D R2 D' B2 U2 L2 U F2 U\nB2 D R2 D' B2 U2 L2 D R2 D\nB2 D R2 D' B2 D2 R2 U B2 U\nB2 D R2 D' B2 D2 R2 D L2 D\nB2 D L2 U L2 U2 B2 U' R2 D\nB2 D L2 U L2 U2 B2 D' F2 U\nB2 D L2 U L2 D2 F2 U' L2 D\nB2 D L2 U L2 D2 F2 D' B2 U\nB2 D L2 U' B2 U2 L2 U R2 D\nB2 D L2 U' B2 U2 L2 D B2 U\nB2 D L2 U' B2 D2 R2 U L2 D\nB2 D L2 U' B2 D2 R2 D F2 U\nB2 D L2 D F2 U2 L2 U' B2 U\nB2 D L2 D F2 U2 L2 D' R2 D\nB2 D L2 D F2 D2 R2 U' F2 U\nB2 D L2 D F2 D2 R2 D' L2 D\nB2 D L2 D' R2 U2 B2 U F2 U\nB2 D L2 D' R2 U2 B2 D R2 D\nB2 D L2 D' R2 D2 F2 U B2 U\nB2 D L2 D' R2 D2 F2 D L2 D\n,10,128
U L2 D2 R2 B2 D' F2 R2 U R2 D' R2 U' R2 L2,B2 U L2 U' F2 U B2 U' R2 D\nB2 U L2 U' F2 U B2 D' F2 U\nB2 U L2 U' F2 D L2 U' B2 U\nB2 U L2 U' F2 D L2 D' R2 D\nB2 U L2 U' B2 U R2 U' L2 U\nB2 U L2 U' B2 U R2 D' B2 D\nB2 U L2 U' B2 D B2 U' F2 D\nB2 U L2 U' B2 D B2 D' L2 U\nB2 U L2 D' R2 U F2 U' B2 D\nB2 U L2 D' R2 U F2 D' R2 U\nB2 U L2 D' R2 D R2 U' L2 U\nB2 U L2 D' R2 D R2 D' B2 D\nB2 U L2 D' L2 U R2 U' F2 U\nB2 U L2 D' L2 U R2 D' L2 D\nB2 U L2 D' L2 D B2 U' R2 D\nB2 U L2 D' L2 D B2 D' F2 U\nB2 D F2 U' R2 U L2 U' B2 U\nB2 D F2 U' R2 U L2 D' R2 D\nB2 D F2 U' R2 D F2 U' L2 D\nB2 D F2 U' R2 D F2 D' B2 U\nB2 D F2 U' L2 U B2 U' F2 D\nB2 D F2 U' L2 U B2 D' L2 U\nB2 D F2 U' L2 D L2 U' R2 U\nB2 D F2 U' L2 D L2 D' F2 D\nB2 D F2 D' F2 U B2 U' R2 D\nB2 D F2 D' F2 U B2 D' F2 U\nB2 D F2 D' F2 D L2 U' B2 U\nB2 D F2 D' F2 D L2 D' R2 D\nB2 D F2 D' B2 U R2 U' L2 U\nB2 D F2 D' B2 U R2 D' B2 D\nB2 D F2 D' B2 D B2 U' F2 D\nB2 D F2 D' B2 D B2 D' L2 U\n,10,32
U L2 D2 R2 B2 D' F2 R2 U R2 D' R2 U' R2 L2,B2 U L2 U' F2 U B2 U' R2 D\nB2 U L2 U' F2 U B2 D' F2 U\nB2 U L2 U' F2 D L2 U' B2 U\nB2 U L2 U' F2 D L2 D' R2 D\nB2 U L2 U' B2 U R2 U' L2 U\nB2 U L2 U' B2 U R2 D' B2 D\nB2 U L2 U' B2 D B2 U' F2 D\nB2 U L2 U' B2 D B2 D' L2 U\nB2 U L2 D' R2 U F2 U' B2 D\nB2 U L2 D' R2 U F2 D' R2 U\nB2 U L2 D' R2 D R2 U' L2 U\nB2 U L2 D' R2 D R2 D' B2 D\nB2 U L2 D' L2 U R2 U' F2 U\nB2 U L2 D' L2 U R2 D' L2 D\nB2 U L2 D' L2 D B2 U' R2 D\nB2 U L2 D' L2 D B2 D' F2 U\nB2 D F2 U' R2 U L2 U' B2 U\nB2 D F2 U' R2 U L2 D' R2 D\nB2 D F2 U' R2 D F2 U' L2 D\nB2 D F2 U' R2 D F2 D' B2 U\nB2 D F2 U' L2 U B2 U' F2 D\nB2 D F2 U' L2 U B2 D' L2 U\nB2 D F2 U' L2 D L2 U' R2 U\nB2 D F2 U' L2 D L2 D' F2 D\nB2 D F2 D' F2 U B2 U' R2 D\nB2 D F2 D' F2 U B2 D' F2 U\nB2 D F2 D' F2 D L2 U' B2 U\nB2 D F2 D' F2 D L2 D' R2 D\nB2 D F2 D' B2 U R2 U' L2 U\nB2 D F2 D' B2 U R2 D' B2 D\nB2 D F2 D' B2 D B2 U' F2 D\nB2 D F2 D' B2 D B2 D' L2 U\n,10,32
U B2 D2 R2 F2 L2 D L2 B2 U B2 D' F2 D2,U2 L2 U2 L2 F2 U' L2 D\nU2 L2 U2 L2 F2 D' B2 U\nU2 L2 D2 R2 B2 U' R2 D\nU2 L2 D2 R2 B2 D' F2 U\nU2 F2 L2 U2 R2 U' F2 D\nU2 F2 L2 U2 R2 D' L2 U\nU2 F2 L2 D2 L2 U' B2 D\nU2 F2 L2 D2 L2 D' R2 U\nD2 R2 U2 R2 B2 U' R2 D\nD2 R2 U2 R2 B2 D' F2 U\nD2 R2 D2 L2 F2 U' L2 D\nD2 R2 D2 L2 F2 D' B2 U\nD2 B2 R2 U2 L2 U' B2 D\nD2 B2 R2 U2 L2 D' R2 U\nD2 B2 R2 D2 R2 U' F2 D\nD2 B2 R2 D2 R2 D' L2 U\nR2 U2 R2 L2 B2 U' R2 D\nR2 U2 R2 L2 B2 D' F2 U\nR2 D2 R2 L2 F2 U' L2 D\nR2 D2 R2 L2 F2 D' B2 U\nL2 U2 F2 R2 L2 U' F2 D\nL2 U2 F2 R2 L2 D' L2 U\nL2 D2 B2 R2 L2 U' B2 D\nL2 D2 B2 R2 L2 D' R2 U\nL2 F2 U2 L2 F2 U' F2 D\nL2 F2 U2 L2 F2 D' L2 U\nL2 F2 D2 R2 B2 U' B2 D\nL2 F2 D2 R2 B2 D' R2 U\nF2 U2 R2 U' L2 F2 B2 U\nF2 U2 R2 D' B2 R2 L2 D\nF2 D2 L2 U' R2 F2 B2 U\nF2 D2 L2 D' F2 R2 L2 D\nB2 R2 U2 F2 L2 U' B2 D\nB2 R2 U2 F2 L2 D' R2 U\nB2 R2 D2 B2 R2 U' F2 D\nB2 R2 D2 B2 R2 D' L2 U\n,8,36
U2 F2 U' L2 D' F2 U' F2 D2 L2 F2 U2 F2 D,U F2 U L2 F2 U R2 U\nU F2 U L2 F2 D B2 D\nU F2 D F2 R2 U B2 D\nU F2 D F2 R2 D L2 U\nD R2 U F2 R2 U B2 D\nD R2 U F2 R2 D L2 U\nD R2 D R2 B2 U L2 U\nD R2 D R2 B2 D F2 D\n,8,8
U2 F2 U' L2 D' F2 U' F2 D2 L2 F2 U2 F2 D,U F2 U L2 F2 U R2 U\nU F2 U L2 F2 D B2 D\nU F2 D F2 R2 U B2 D\nU F2 D F2 R2 D L2 U\nD R2 U F2 R2 U B2 D\nD R2 U F2 R2 D L2 U\nD R2 D R2 B2 U L2 U\nD R2 D R2 B2 D F2 D\n,8,8
U D2 L2 D' L2 B2 D' F2 U' L2 D' B2 U R2,F2 L2 U L2 U' F2 U R2 U\nF2 L2 U L2 U' F2 D B2 D\nF2 L2 U L2 D' L2 U F2 D\nF2 L2 U L2 D' L2 D R2 U\nF2 L2 U' R2 U F2 U' L2 U\nF2 L2 U' R2 U F2 D' B2 D\nF2 L2 U' R2 D R2 U' F2 D\nF2 L2 U' R2 D R2 D' L2 U\nF2 L2 D F2 U' R2 U B2 D\nF2 L2 D F2 U' R2 D L2 U\nF2 L2 D F2 D' F2 U R2 U\nF2 L2 D F2 D' F2 D B2 D\nF2 L2 D' F2 U L2 U' B2 D\nF2 L2 D' F2 U L2 D' R2 U\nF2 L2 D' F2 D F2 U' L2 U\nF2 L2 D' F2 D F2 D' B2 D\nB2 R2 U F2 U' F2 U B2 U\nB2 R2 U F2 U' F2 D L2 D\nB2 R2 U F2 D' L2 U R2 D\nB2 R2 U F2 D' L2 D B2 U\nB2 R2 U' F2 U F2 U' B2 U\nB2 R2 U' F2 U F2 D' R2 D\nB2 R2 U' F2 D R2 U' L2 D\nB2 R2 U' F2 D R2 D' B2 U\nB2 R2 D R2 U' R2 U L2 D\nB2 R2 D R2 U' R2 D F2 U\nB2 R2 D R2 D' F2 U B2 U\nB2 R2 D R2 D' F2 D L2 D\nB2 R2 D' L2 U L2 U' R2 D\nB2 R2 D' L2 U L2 D' F2 U\nB2 R2 D' L2 D F2 U' B2 U\nB2 R2 D' L2 D F2 D' R2 D\n,9,32
